,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
3735,3,2.0,1.0,1.0,67.0,4,180,95
6498,3,1.0,1.0,2.0,39.0,3,1125,9
1267,4,1.0,1.0,2.0,96.0,4,93,117
2366,6,3.0,1.0,5.0,180.0,3,90,70
7075,3,1.0,1.0,2.0,110.0,3,1125,45
7201,2,1.0,1.0,1.0,70.0,2,15,0
5629,4,1.0,1.0,2.0,50.0,2,60,1
2110,2,0.0,1.0,1.0,170.0,3,9,76
7195,1,1.0,1.0,1.0,80.0,1,1125,1
3813,4,1.0,1.0,2.0,65.0,3,1125,1
1374,2,1.0,1.0,1.0,30.0,3,30,45
2940,4,2.0,1.0,4.0,57.0,5,1125,3
6030,2,1.0,1.0,1.0,60.0,5,1125,0
837,2,0.0,1.0,1.0,60.0,3,30,342
5103,2,1.0,1.0,1.0,80.0,1,1125,3
4225,6,2.0,1.0,3.0,169.0,2,1125,207
7000,2,1.0,1.0,1.0,54.0,2,1125,59
606,5,3.0,2.0,3.0,320.0,3,21,56
4691,2,0.0,1.0,1.0,60.0,4,1125,6
3719,3,0.0,1.0,2.0,220.0,7,354,10
5782,6,3.0,1.0,3.0,250.0,5,1125,21
7327,6,4.0,2.0,5.0,300.0,3,5,1
6144,3,1.0,1.0,1.0,70.0,1,1125,0
5139,6,2.0,1.0,4.0,75.0,1,1125,1
1261,2,1.0,1.0,1.0,50.0,3,1125,0
1771,2,1.0,1.0,1.0,55.0,3,190,98
3572,4,1.0,1.5,2.0,290.0,91,1125,14
5274,2,1.0,1.0,2.0,100.0,2,15,1
6827,4,1.0,1.0,1.0,95.0,2,2,99
5442,3,1.0,1.0,2.0,30.0,2,1125,81
2704,2,1.0,1.0,1.0,139.0,10,1125,176
5479,4,2.0,1.0,2.0,130.0,5,10,55
4635,3,2.0,1.0,2.0,70.0,8,1125,5
4448,2,1.0,1.0,1.0,100.0,1,1125,323
3588,4,1.0,1.0,2.0,60.0,3,1125,34
6131,2,1.0,1.0,1.0,60.0,6,60,0
2011,4,2.0,1.0,3.0,410.0,7,21,49
3601,2,0.0,1.0,1.0,49.0,91,366,0
7150,2,1.0,1.0,1.0,69.0,1,30,235
568,2,1.0,1.0,1.0,57.0,2,10,400
5986,2,1.0,1.0,1.0,58.0,2,21,7
918,2,1.0,1.0,1.0,45.0,5,365,12
2885,2,1.0,1.0,1.0,55.0,2,30,66
6792,4,2.0,1.0,2.0,75.0,1,1125,2
4431,6,2.0,1.0,3.0,72.0,3,1125,0
583,2,1.0,1.5,1.0,168.0,2,60,91
6740,2,1.0,1.0,1.0,90.0,3,1125,25
95,4,1.0,1.0,2.0,158.0,2,25,44
691,4,2.0,1.0,2.0,65.0,2,12,7
